cluster_id,rank,membership_score,category,text_snippet
2,1,1.0,rec.autos,"Same engine, different state of tune (less hp and maybe more torque). My friend at work regularly takes 6 people in his and it seems to haul around just fine."
2,2,1.0,sci.space,"Why not design the solar arrays to be detachable. if the shuttle is going to retunr the HST, what bother are some arrays. just fit them with a quick release. one space walk, or use the second canadarm to remove the arrays."
2,3,1.0,sci.space,"I can't speak to sheer mass, but part of the problem is that HST wasn't built to ever be brought back down. It's not built for those kinds of 'jolt' forces and there is no support cradle for it (which is additional weight that would be required. -- ""Insisting on perfect safety is for people who don'"
2,4,1.0,sci.space,The Japanese are still on the learning curve as far as nuclear power goes. This means that unlike the Germans (who do great things all by themselves) the Japanese tie up with foreign companies. The major one is Mitsubishi (who else) who have a sharing agreement with GE I think. No chance of a new de
2,5,1.0,sci.med,To: (Russell Turpin) RT> o Those administering the treatment do not know which subjects RT> receive a placebo or the test treatment. It seems to me that many drugs have such severe side effects that it might not be possible to keep the doctors from knowing who is getting the true drug. This is espec
3,1,1.0,comp.sys.ibm.pc.hardware,"What group is this? This is not a MAC group. Why the spec list again? We are talking SCSI on a PC, not on a MAC or a UNIX box. And we are talking ISA bus, or possibly EISA or VLB. This isin't comp.periphs.SCSI. Tell me what the performance figures are with a single SCSI drive on a PC with an ISA (or"
3,2,1.0,misc.forsale,"========== 20"" COLOR TV ============= San Diego Mesa College Area Emerson M20R w/ ""high-tech"" square screen BEST PRICE YOU features: timer/sleep feature for auto- shut on/off CAN FIND FOR A fully cable ready w/ all coaxial video audio jacks 20-INCH COLOR TV MTS (multichannel sound jack) for processi"
3,3,1.0,comp.sys.mac.hardware,": : Excuse me if this is a frequent question, I checked in : several FAQs but couldn't really find anything. You are excused... the answer varies from Mac to Mac so it would be a complex answer in the FAQ. : : I have a IIsi with the standard 5 meg memory and I want : (need) to add additional memory."
3,4,1.0,comp.sys.ibm.pc.hardware,"Too right it does! The --VERY VERY FIRST-- thing you do is make sure that --ALL-- files on the floppies that you can currently read in the drive, which aren't already on your HD or another floppy (if you have -two- floppy drives) get copied to your HD (and/or to a floppy in your other drive). If you"
3,5,1.0,comp.sys.ibm.pc.hardware,"I need to duplicate a bunch of floppy disks (3.5"") and ideally would like to be able to keep 2 to 4 floppies busy simultaneously on a single PC. [Yes, I know that services to do this exist.] I know that standard ISA bus floppy controllers can only have one drive active at a time. I know that some co"
4,1,1.0,talk.politics.guns,I predict that the outcome of the study of what went wrong with the Federal Assault in Waco will result in future assaults of that type being conducted as full-scale military operations with explicit shoot-to-kill directives. -- Dave Feustel N9MYI <>
4,2,1.0,talk.politics.guns,"Not to mention last year's Weaver affair. Anyway, here's how I see the Waco affair; I'd be interested in other peoples' interpretations... 1. Koresh and his people were basically minding their own business. 2. Some weapons violations may have been committed and I wouldn't have disapproved of prosecu"
4,3,1.0,talk.politics.mideast,"Is this the joke of the month? 1. Your fascist grandparents exterminated 2.5 million Muslim people between 1914 and 1920. 2. Your Nazi parents fully participated in the extermination of the European Jewry during WWII. 3. Your criminal cousins have been slaughtering Muslim women, children and elderly"
4,4,1.0,rec.sport.baseball,"But maybe his wife was :-) I don't claim to know whether it's true or not, but a couple different people (totally unrelated) have said Harry was 'relieved' of his duties because he had more than platonic relations with Augie Busch's wife. Judgement is left to the individual, cuz I sure don't claim t"
4,5,1.0,talk.politics.mideast,"Source: A. Alper Gazigiray, ""Osmanlilardan Gunumuze Kadar Vesikalarla Ermeni Teroru'nun Kaynaklari,"" Gozen Kitabevi, Istanbul, 1982. pp. 267-268. ""Van'dan sonra ilk isyan Sebinkarahisar'da basladi. 1915 senesi 5 haziran da, Sivasli Murat [Hamparsum Boyaciyan - sa] denilen bir caninin emri altinda 50"
5,1,1.0,soc.religion.christian,"> I'm leaning... SIRACH... is more directly referenced by JAMES > than JOB or RUTH is... in any NT verse I've seen. It would help if you mentioned chapter and verse from SIRACH and from JAMES. Job 5:13 (""He taketh the wise in their craftiness"") seems to be quoted in 1 Corinthians 3:19. James 5:11 ("""
5,2,1.0,alt.atheism,": > Sure it isn't mutually exclusive, but it lends weight to (i.e. increases : > notional running estimates of the posterior probability of) the : > atheist's pitch in the partition, and thus necessarily reduces the same : > quantity in the theist's pitch. This is because the `divine component' : > "
5,3,1.0,talk.religion.misc,"Actually, they generally claim that (b) their particular interpretation of scripture/revelation *is* this objective morality. That there are two conflicting versions of this objective morality does tell us something about (a). It tells us at least one fake objective morality exists. The next logical"
5,4,1.0,soc.religion.christian,"Yes, and what about Paul saying: 26 Be ye angry, and sin not: let not the sun go down upon your wrath: (Ephesians 4:26). Obviously then, we can be angry w/o sinning. Jon ------------------------------------------------ Jon Ogden - Motorola Cellular - Advanced Products Division Voice: 708-632-2521 Da"
5,5,1.0,alt.atheism,"What atheists are you talking about? IMNSHO, Abortion is the womans choice. Homosexual sex is the choice of the people involved. War is sometimes necessary. This leaves capital punishment. I oppose capital punishemnt because mistakes can happen (yes this thread went around with no resolution recentl"
6,1,1.0,sci.crypt,"Here's a simple way to convert the Clipper proposal to an unexceptionable one: Make it voluntary. That is--you get high quality secure NSA classified technology if you agree to escrow your key. Otherwise you are on your own. That's the disturbing part - use of other products IS voluntary, for now, a"
6,2,1.0,sci.crypt,"It might be nice to: 1. cut out the ad hominem attacks on Prof. Denning, Mr. Sternlight, etc. If you have something objective to say about their views, go ahead and say it (subject to point 2.). Personal attacks reflect more on the attacker more than on the attackee. Throw light, not heat! 2. restri"
6,3,1.0,sci.crypt,"So if we subvert one of the two escrow agents, we only have a 40-bit space to search through... 2^40 doesn't sound that big - is digital telephony subject to a known plaintext attack? In which case half the key seems to be all that is needed, and the two agent escrow arrangement is pointless. Of cou"
6,4,1.0,misc.forsale,This entire dispute over a chip has deluged this newsgroup with a lot of posts that have nothing to SELL. It all harkens back to a certain user's post of a month or so ago: STOP POSTING COMPUTER EQUIPMENT HERE!!! Save it for the computer.forsale newsgroups! If you don't GET the computer.forsale news
6,5,1.0,sci.crypt,Lets carry this one step further. Suppose the text of the key is in itself conclusive evidence of the SAME CRIME for which the encrypted material is further evidence. I find myself envisaging a scenario like this: You have made some scans of Peanuts strips. You encrypt them. The key is a phrase. The
